DATE,Number in Million
9/20/1975,433000
9/27/1975,445000
10/4/1975,426000
10/11/1975,429000
10/18/1975,404000
10/25/1975,426000
11/1/1975,414000
11/8/1975,415000
11/15/1975,386000
11/22/1975,401000
11/29/1975,387000
12/6/1975,373000
12/13/1975,368000
12/20/1975,365000
12/27/1975,391000
1/3/1976,362000
1/10/1976,402000
1/17/1976,370000
1/24/1976,363000
1/31/1976,359000
2/7/1976,353000
2/14/1976,344000
2/21/1976,347000
2/28/1976,349000
3/6/1976,348000
3/13/1976,360000
3/20/1976,368000
3/27/1976,366000
4/3/1976,380000
4/10/1976,373000
4/17/1976,361000
4/24/1976,367000
5/1/1976,385000
5/8/1976,395000
5/15/1976,382000
5/22/1976,394000
5/29/1976,402000
6/5/1976,382000
6/12/1976,407000
6/19/1976,399000
6/26/1976,387000
7/3/1976,394000
7/10/1976,372000
7/17/1976,406000
7/24/1976,394000
7/31/1976,388000
8/7/1976,378000
8/14/1976,382000
8/21/1976,400000
8/28/1976,394000
9/4/1976,421000
9/11/1976,383000
9/18/1976,403000
9/25/1976,423000
10/2/1976,408000
10/9/1976,411000
10/16/1976,403000
10/23/1976,409000
10/30/1976,414000
11/6/1976,390000
11/13/1976,383000
11/20/1976,408000
11/27/1976,377000
12/4/1976,402000
12/11/1976,395000
12/18/1976,365000
12/25/1976,333000
1/1/1977,380000
1/8/1977,416000
1/15/1977,368000
1/22/1977,423000
1/29/1977,422000
2/5/1977,565000
2/12/1977,477000
2/19/1977,399000
2/26/1977,362000
3/5/1977,361000
3/12/1977,355000
3/19/1977,369000
3/26/1977,356000
4/2/1977,350000
4/9/1977,376000
4/16/1977,361000
4/23/1977,375000
4/30/1977,375000
5/7/1977,384000
5/14/1977,381000
5/21/1977,375000
5/28/1977,381000
6/4/1977,363000
6/11/1977,358000
6/18/1977,359000
6/25/1977,365000
7/2/1977,350000
7/9/1977,361000
7/16/1977,366000
7/23/1977,365000
7/30/1977,365000
8/6/1977,378000
8/13/1977,359000
8/20/1977,367000
8/27/1977,365000
9/3/1977,374000
9/10/1977,359000
9/17/1977,362000
9/24/1977,380000
10/1/1977,348000
10/8/1977,365000
10/15/1977,358000
10/22/1977,375000
10/29/1977,349000
11/5/1977,366000
11/12/1977,334000
11/19/1977,360000
11/26/1977,354000
12/3/1977,367000
12/10/1977,364000
12/17/1977,359000
12/24/1977,344000
12/31/1977,364000
1/7/1978,346000
1/14/1978,343000
1/21/1978,352000
1/28/1978,363000
2/4/1978,360000
2/11/1978,373000
2/18/1978,429000
2/25/1978,371000
3/4/1978,355000
3/11/1978,359000
3/18/1978,347000
3/25/1978,335000
4/1/1978,333000
4/8/1978,345000
4/15/1978,309000
4/22/1978,319000
4/29/1978,324000
5/6/1978,334000
5/13/1978,322000
5/20/1978,334000
5/27/1978,318000
6/3/1978,310000
6/10/1978,331000
6/17/1978,326000
6/24/1978,330000
7/1/1978,348000
7/8/1978,356000
7/15/1978,352000
7/22/1978,349000
7/29/1978,346000
8/5/1978,365000
8/12/1978,354000
8/19/1978,343000
8/26/1978,333000
9/2/1978,313000
9/9/1978,337000
9/16/1978,322000
9/23/1978,323000
9/30/1978,318000
10/7/1978,343000
10/14/1978,316000
10/21/1978,338000
10/28/1978,316000
11/4/1978,317000
11/11/1978,304000
11/18/1978,342000
11/25/1978,359000
12/2/1978,377000
12/9/1978,344000
12/16/1978,347000
12/23/1978,352000
12/30/1978,358000
1/6/1979,359000
1/13/1979,392000
1/20/1979,337000
1/27/1979,342000
2/3/1979,348000
2/10/1979,359000
2/17/1979,367000
2/24/1979,360000
3/3/1979,355000
3/10/1979,363000
3/17/1979,359000
3/24/1979,353000
3/31/1979,360000
4/7/1979,465000
4/14/1979,457000
4/21/1979,383000
4/28/1979,357000
5/5/1979,353000
5/12/1979,344000
5/19/1979,346000
5/26/1979,349000
6/2/1979,336000
6/9/1979,365000
6/16/1979,351000
6/23/1979,379000
6/30/1979,369000
7/7/1979,368000
7/14/1979,368000
7/21/1979,395000
7/28/1979,386000
8/4/1979,412000
8/11/1979,386000
8/18/1979,387000
8/25/1979,390000
9/1/1979,389000
9/8/1979,378000
9/15/1979,384000
9/22/1979,388000
9/29/1979,390000
10/6/1979,412000
10/13/1979,393000
10/20/1979,406000
10/27/1979,398000
11/3/1979,395000
11/10/1979,414000
11/17/1979,430000
11/24/1979,414000
12/1/1979,416000
12/8/1979,415000
12/15/1979,411000
12/22/1979,471000
12/29/1979,428000
1/5/1980,394000
1/12/1980,405000
1/19/1980,446000
1/26/1980,412000
2/2/1980,404000
2/9/1980,425000
2/16/1980,415000
2/23/1980,428000
3/1/1980,409000
3/8/1980,418000
3/15/1980,432000
3/22/1980,435000
3/29/1980,475000
4/5/1980,464000
4/12/1980,544000
4/19/1980,548000
4/26/1980,563000
5/3/1980,572000
5/10/1980,601000
5/17/1980,642000
5/24/1980,627000
5/31/1980,637000
6/7/1980,610000
6/14/1980,592000
6/21/1980,599000
6/28/1980,627000
7/5/1980,579000
7/12/1980,533000
7/19/1980,567000
7/26/1980,558000
8/2/1980,569000
8/9/1980,533000
8/16/1980,525000
8/23/1980,512000
8/30/1980,502000
9/6/1980,511000
9/13/1980,492000
9/20/1980,465000
9/27/1980,463000
10/4/1980,462000
10/11/1980,447000
10/18/1980,425000
10/25/1980,418000
11/1/1980,419000
11/8/1980,407000
11/15/1980,427000
11/22/1980,398000
11/29/1980,412000
12/6/1980,416000
12/13/1980,413000
12/20/1980,412000
12/27/1980,399000
1/3/1981,410000
1/10/1981,419000
1/17/1981,421000
1/24/1981,396000
1/31/1981,419000
2/7/1981,420000
2/14/1981,423000
2/21/1981,438000
2/28/1981,434000
3/7/1981,409000
3/14/1981,408000
3/21/1981,401000
3/28/1981,412000
4/4/1981,417000
4/11/1981,396000
4/18/1981,392000
4/25/1981,436000
5/2/1981,413000
5/9/1981,423000
5/16/1981,414000
5/23/1981,415000
5/30/1981,417000
6/6/1981,428000
6/13/1981,425000
6/20/1981,435000
6/27/1981,444000
7/4/1981,460000
7/11/1981,426000
7/18/1981,430000
7/25/1981,407000
8/1/1981,476000
8/8/1981,448000
8/15/1981,442000
8/22/1981,434000
8/29/1981,451000
9/5/1981,473000
9/12/1981,454000
9/19/1981,475000
9/26/1981,491000
10/3/1981,489000
10/10/1981,491000
10/17/1981,487000
10/24/1981,483000
10/31/1981,514000
11/7/1981,514000
11/14/1981,517000
11/21/1981,464000
11/28/1981,552000
12/5/1981,558000
12/12/1981,551000
12/19/1981,539000
12/26/1981,556000
1/2/1982,495000
1/9/1982,545000
1/16/1982,489000
1/23/1982,564000
1/30/1982,583000
2/6/1982,556000
2/13/1982,507000
2/20/1982,544000
2/27/1982,528000
3/6/1982,556000
3/13/1982,539000
3/20/1982,557000
3/27/1982,574000
4/3/1982,578000
4/10/1982,585000
4/17/1982,597000
4/24/1982,588000
5/1/1982,576000
5/8/1982,584000
5/15/1982,585000
5/22/1982,586000
5/29/1982,588000
6/5/1982,611000
6/12/1982,614000
6/19/1982,591000
6/26/1982,582000
7/3/1982,600000
7/10/1982,572000
7/17/1982,567000
7/24/1982,536000
7/31/1982,605000
8/7/1982,606000
8/14/1982,637000
8/21/1982,628000
8/28/1982,647000
9/4/1982,651000
9/11/1982,641000
9/18/1982,680000
9/25/1982,671000
10/2/1982,695000
10/9/1982,651000
10/16/1982,656000
10/23/1982,623000
10/30/1982,637000
11/6/1982,589000
11/13/1982,599000
11/20/1982,577000
11/27/1982,612000
12/4/1982,557000
12/11/1982,533000
12/18/1982,516000
12/25/1982,489000
1/1/1983,534000
1/8/1983,510000
1/15/1983,479000
1/22/1983,479000
1/29/1983,503000
2/5/1983,501000
2/12/1983,486000
2/19/1983,487000
2/26/1983,481000
3/5/1983,495000
3/12/1983,475000
3/19/1983,470000
3/26/1983,481000
4/2/1983,491000
4/9/1983,496000
4/16/1983,515000
4/23/1983,488000
4/30/1983,490000
5/7/1983,494000
5/14/1983,464000
5/21/1983,460000
5/28/1983,454000
6/4/1983,459000
6/11/1983,442000
6/18/1983,434000
6/25/1983,442000
7/2/1983,422000
7/9/1983,412000
7/16/1983,396000
7/23/1983,395000
7/30/1983,415000
8/6/1983,415000
8/13/1983,457000
8/20/1983,445000
8/27/1983,426000
9/3/1983,411000
9/10/1983,403000
9/17/1983,405000
9/24/1983,416000
10/1/1983,413000
10/8/1983,406000
10/15/1983,394000
10/22/1983,394000
10/29/1983,404000
11/5/1983,395000
11/12/1983,390000
11/19/1983,387000
11/26/1983,398000
12/3/1983,365000
12/10/1983,368000
12/17/1983,362000
12/24/1983,377000
12/31/1983,372000
1/7/1984,356000
1/14/1984,351000
1/21/1984,333000
1/28/1984,364000
2/4/1984,342000
2/11/1984,338000
2/18/1984,334000
2/25/1984,343000
3/3/1984,347000
3/10/1984,346000
3/17/1984,349000
3/24/1984,346000
3/31/1984,341000
4/7/1984,381000
4/14/1984,357000
4/21/1984,364000
4/28/1984,375000
5/5/1984,365000
5/12/1984,368000
5/19/1984,354000
5/26/1984,354000
6/2/1984,355000
6/9/1984,369000
6/16/1984,361000
6/23/1984,362000
6/30/1984,360000
7/7/1984,366000
7/14/1984,360000
7/21/1984,357000
7/28/1984,359000
8/4/1984,382000
8/11/1984,380000
8/18/1984,401000
8/25/1984,395000
9/1/1984,385000
9/8/1984,402000
9/15/1984,393000
9/22/1984,395000
9/29/1984,402000
10/6/1984,403000
10/13/1984,410000
10/20/1984,439000
10/27/1984,425000
11/3/1984,423000
11/10/1984,393000
11/17/1984,383000
11/24/1984,429000
12/1/1984,401000
12/8/1984,383000
12/15/1984,386000
12/22/1984,379000
12/29/1984,379000
1/5/1985,369000
1/12/1985,387000
1/19/1985,359000
1/26/1985,368000
2/2/1985,386000
2/9/1985,401000
2/16/1985,390000
2/23/1985,390000
3/2/1985,374000
3/9/1985,385000
3/16/1985,386000
3/23/1985,373000
3/30/1985,386000
4/6/1985,405000
4/13/1985,411000
4/20/1985,391000
4/27/1985,386000
5/4/1985,390000
5/11/1985,394000
5/18/1985,391000
5/25/1985,396000
6/1/1985,393000
6/8/1985,403000
6/15/1985,390000
6/22/1985,386000
6/29/1985,390000
7/6/1985,395000
7/13/1985,386000
7/20/1985,370000
7/27/1985,362000
8/3/1985,407000
8/10/1985,402000
8/17/1985,399000
8/24/1985,405000
8/31/1985,409000
9/7/1985,426000
9/14/1985,408000
9/21/1985,401000
9/28/1985,399000
10/5/1985,405000
10/12/1985,400000
10/19/1985,400000
10/26/1985,418000
11/2/1985,398000
11/9/1985,397000
11/16/1985,397000
11/23/1985,382000
11/30/1985,393000
12/7/1985,399000
12/14/1985,382000
12/21/1985,370000
12/28/1985,390000
1/4/1986,362000
1/11/1986,397000
1/18/1986,364000
1/25/1986,344000
2/1/1986,364000
2/8/1986,366000
2/15/1986,358000
2/22/1986,390000
3/1/1986,375000
3/8/1986,366000
3/15/1986,382000
3/22/1986,387000
3/29/1986,396000
4/5/1986,381000
4/12/1986,388000
4/19/1986,383000
4/26/1986,391000
5/3/1986,392000
5/10/1986,395000
5/17/1986,384000
5/24/1986,386000
5/31/1986,373000
6/7/1986,375000
6/14/1986,369000
6/21/1986,367000
6/28/1986,371000
7/5/1986,371000
7/12/1986,361000
7/19/1986,354000
7/26/1986,362000
8/2/1986,416000
8/9/1986,416000
8/16/1986,407000
8/23/1986,397000
8/30/1986,401000
9/6/1986,400000
9/13/1986,394000
9/20/1986,399000
9/27/1986,389000
10/4/1986,391000
10/11/1986,387000
10/18/1986,385000
10/25/1986,370000
11/1/1986,364000
11/8/1986,349000
11/15/1986,368000
11/22/1986,369000
11/29/1986,366000
12/6/1986,363000
12/13/1986,375000
12/20/1986,350000
12/27/1986,345000
1/3/1987,323000
1/10/1987,348000
1/17/1987,341000
1/24/1987,346000
1/31/1987,370000
2/7/1987,368000
2/14/1987,338000
2/21/1987,341000
2/28/1987,348000
3/7/1987,337000
3/14/1987,335000
3/21/1987,335000
3/28/1987,326000
4/4/1987,330000
4/11/1987,338000
4/18/1987,349000
4/25/1987,328000
5/2/1987,330000
5/9/1987,315000
5/16/1987,341000
5/23/1987,343000
5/30/1987,326000
6/6/1987,328000
6/13/1987,316000
6/20/1987,319000
6/27/1987,326000
7/4/1987,326000
7/11/1987,317000
7/18/1987,310000
7/25/1987,324000
8/1/1987,348000
8/8/1987,327000
8/15/1987,319000
8/22/1987,312000
8/29/1987,322000
9/5/1987,316000
9/12/1987,297000
9/19/1987,309000
9/26/1987,317000
10/3/1987,301000
10/10/1987,308000
10/17/1987,301000
10/24/1987,301000
10/31/1987,289000
11/7/1987,297000
11/14/1987,307000
11/21/1987,317000
11/28/1987,306000
12/5/1987,319000
12/12/1987,317000
12/19/1987,323000
12/26/1987,316000
1/2/1988,315000
1/9/1988,325000
1/16/1988,361000
1/23/1988,335000
1/30/1988,342000
2/6/1988,318000
2/13/1988,311000
2/20/1988,327000
2/27/1988,319000
3/5/1988,307000
3/12/1988,304000
3/19/1988,307000
3/26/1988,304000
4/2/1988,309000
4/9/1988,313000
4/16/1988,314000
4/23/1988,312000
4/30/1988,313000
5/7/1988,309000
5/14/1988,314000
5/21/1988,319000
5/28/1988,313000
6/4/1988,310000
6/11/1988,305000
6/18/1988,311000
6/25/1988,307000
7/2/1988,305000
7/9/1988,303000
7/16/1988,315000
7/23/1988,354000
7/30/1988,331000
8/6/1988,316000
8/13/1988,312000
8/20/1988,316000
8/27/1988,315000
9/3/1988,306000
9/10/1988,305000
9/17/1988,306000
9/24/1988,301000
10/1/1988,292000
10/8/1988,292000
10/15/1988,293000
10/22/1988,286000
10/29/1988,294000
11/5/1988,285000
11/12/1988,284000
11/19/1988,294000
11/26/1988,299000
12/3/1988,298000
12/10/1988,285000
12/17/1988,293000
12/24/1988,286000
12/31/1988,304000
1/7/1989,299000
1/14/1989,283000
1/21/1989,282000
1/28/1989,295000
2/4/1989,288000
2/11/1989,322000
2/18/1989,305000
2/25/1989,300000
3/4/1989,325000
3/11/1989,325000
3/18/1989,319000
3/25/1989,319000
4/1/1989,323000
4/8/1989,314000
4/15/1989,307000
4/22/1989,304000
4/29/1989,311000
5/6/1989,320000
5/13/1989,332000
5/20/1989,321000
5/27/1989,325000
6/3/1989,325000
6/10/1989,332000
6/17/1989,337000
6/24/1989,338000
7/1/1989,349000
7/8/1989,341000
7/15/1989,349000
7/22/1989,332000
7/29/1989,337000
8/5/1989,338000
8/12/1989,341000
8/19/1989,327000
8/26/1989,332000
9/2/1989,329000
9/9/1989,336000
9/16/1989,334000
9/23/1989,334000
9/30/1989,347000
10/7/1989,407000
10/14/1989,345000
10/21/1989,347000
10/28/1989,354000
11/4/1989,333000
11/11/1989,336000
11/18/1989,336000
11/25/1989,342000
12/2/1989,344000
12/9/1989,338000
12/16/1989,355000
12/23/1989,381000
12/30/1989,358000
1/6/1990,355000
1/13/1990,369000
1/20/1990,375000
1/27/1990,345000
2/3/1990,368000
2/10/1990,367000
2/17/1990,348000
2/24/1990,350000
3/3/1990,351000
3/10/1990,349000
3/17/1990,349000
3/24/1990,331000
3/31/1990,346000
4/7/1990,367000
4/14/1990,357000
4/21/1990,360000
4/28/1990,363000
5/5/1990,354000
5/12/1990,355000
5/19/1990,353000
5/26/1990,359000
6/2/1990,368000
6/9/1990,359000
6/16/1990,359000
6/23/1990,362000
6/30/1990,364000
7/7/1990,362000
7/14/1990,367000
7/21/1990,370000
7/28/1990,369000
8/4/1990,369000
8/11/1990,381000
8/18/1990,393000
8/25/1990,394000
9/1/1990,392000
9/8/1990,390000
9/15/1990,395000
9/22/1990,389000
9/29/1990,404000
10/6/1990,404000
10/13/1990,422000
10/20/1990,435000
10/27/1990,440000
11/3/1990,430000
11/10/1990,448000
11/17/1990,447000
11/24/1990,462000
12/1/1990,451000
12/8/1990,449000
12/15/1990,447000
12/22/1990,474000
12/29/1990,454000
1/5/1991,415000
1/12/1991,437000
1/19/1991,445000
1/26/1991,462000
2/2/1991,483000
2/9/1991,480000
2/16/1991,474000
2/23/1991,499000
3/2/1991,488000
3/9/1991,499000
3/16/1991,498000
3/23/1991,509000
3/30/1991,499000
4/6/1991,452000
4/13/1991,477000
4/20/1991,478000
4/27/1991,462000
5/4/1991,451000
5/11/1991,446000
5/18/1991,448000
5/25/1991,443000
6/1/1991,432000
6/8/1991,441000
6/15/1991,429000
6/22/1991,423000
6/29/1991,418000
7/6/1991,422000
7/13/1991,420000
7/20/1991,408000
7/27/1991,423000
8/3/1991,438000
8/10/1991,437000
8/17/1991,433000
8/24/1991,425000
8/31/1991,425000
9/7/1991,424000
9/14/1991,418000
9/21/1991,419000
9/28/1991,437000
10/5/1991,424000
10/12/1991,425000
10/19/1991,419000
10/26/1991,423000
11/2/1991,447000
11/9/1991,453000
11/16/1991,439000
11/23/1991,444000
11/30/1991,444000
12/7/1991,475000
12/14/1991,475000
12/21/1991,436000
12/28/1991,441000
1/4/1992,432000
1/11/1992,440000
1/18/1992,443000
1/25/1992,441000
2/1/1992,440000
2/8/1992,445000
2/15/1992,446000
2/22/1992,436000
2/29/1992,444000
3/7/1992,421000
3/14/1992,437000
3/21/1992,440000
3/28/1992,420000
4/4/1992,412000
4/11/1992,413000
4/18/1992,424000
4/25/1992,424000
5/2/1992,431000
5/9/1992,417000
5/16/1992,414000
5/23/1992,414000
5/30/1992,411000
6/6/1992,416000
6/13/1992,420000
6/20/1992,419000
6/27/1992,420000
7/4/1992,407000
7/11/1992,408000
7/18/1992,392000
7/25/1992,564000
8/1/1992,423000
8/8/1992,406000
8/15/1992,401000
8/22/1992,398000
8/29/1992,408000
9/5/1992,416000
9/12/1992,416000
9/19/1992,427000
9/26/1992,409000
10/3/1992,398000
10/10/1992,374000
10/17/1992,385000
10/24/1992,367000
10/31/1992,365000
11/7/1992,374000
11/14/1992,377000
11/21/1992,357000
11/28/1992,341000
12/5/1992,350000
12/12/1992,359000
12/19/1992,334000
12/26/1992,313000
1/2/1993,341000
1/9/1993,354000
1/16/1993,352000
1/23/1993,341000
1/30/1993,340000
2/6/1993,319000
2/13/1993,321000
2/20/1993,351000
2/27/1993,362000
3/6/1993,354000
3/13/1993,346000
3/20/1993,338000
3/27/1993,366000
4/3/1993,365000
4/10/1993,353000
4/17/1993,351000
